"","results"
"416",0.540461377148584
"417",0.38024855369064
"418",0.434921216539852
"419",39
"420",NA
"421",0.983239543314756
"422",0.961011010484885
"423",0.832571093410542
"424",0.632318718079236
"425",0.453318837700328
"426",0.401009052784229
"427",0.460334217048103
"428",0.501436008716345
"429",0.288764269694347
"430",40
"431",NA
"432",0.96369197030561
"433",0.944597859094883
"434",0.50765145382668
"435",0.548810207666463
"436",0.384925252993061
"437",0.302636814209717
"438",0.462029967159278
"439",0.396668033796356
"440",0.491924456932097
"441",41
"442",NA
"443",0.970497233232021
"444",0.949900991635844
"445",0.517948553355053
"446",0.517552145122249
"447",0.59596311323967
"448",0.384516265285265
"449",0.472155796285921
"450",0.393876854059046
"451",0.406103426389167
"452",42
"453",NA
"454",0.971535215330908
"455",0.959428108263907
"456",0.562726801675998
"457",0.511932377140813
"458",0.402999231437947
"459",0.297228830753175
"460",0.355490229781208
"461",0.563413696477295
"462",0.537726884130287
"463",43
"464",NA
"465",0.983291011264796
"466",0.927184197149827
"467",0.89762624338207
"468",0.393652370321248
"469",0.424447212003455
"470",0.616224571296139
"471",0.469240886197652
"472",0.32840982400994
"473",0.345395456988494
"474",44
"475",NA
"476",0.965767347581543
"477",0.415777384235043
"478",0.89219485325404
"479",0.391658444447044
"480",0.379725093293822
"481",0.468429402530499
"482",0.344801419009721
"483",0.429935117540727
"484",0.438804953910392
"485",45
"486",NA
"487",0.978683284852648
"488",0.422222638353359
"489",0.458033252304516
"490",0.513456913941853
"491",0.546957038029279
"492",0.674995001426559
"493",0.42992905078346
"494",0.420471225353386
"495",0.420715746582338
"496",46
"497",NA
"498",0.973866681400039
"499",0.443853678468673
"500",0.781116487942137
"501",0.492027776507648
"502",0.697262178907389
"503",0.38719716694675
"504",0.487581339731273
"505",0.432850252462333
"506",0.46836499294575
"507",47
"508",NA
"509",0.953401631200724
"510",0.916023990801794
"511",0.91197588888004
"512",0.388562031228813
"513",0.442081509568093
"514",0.394674647994618
"515",0.35914720733848
"516",0.501536740013063
"517",0.516670884618312
"518",48
"519",NA
"520",0.965668874390306
"521",0.426765682865543
"522",0.489441634659135
"523",0.616103853459196
"524",0.288128783851579
"525",0.671352671863832
"526",0.453850022264709
"527",0.469426873223215
"528",0.362828740437428
"529",49
"530",NA
"531",0.977180773772546
"532",0.93010604751501
"533",0.900951754358395
"534",0.454080459066106
"535",0.404951785289481
"536",0.501193877690867
"537",0.461704653670119
"538",0.2946308561951
"539",0.326712127342282
"540",50
"541",NA
"542",0.979619363528559
"543",0.94805459925377
"544",0.574847959863414
"545",0.445557737804044
"546",0.673755675891747
"547",0.388259767442073
"548",0.322752727959973
"549",0.315808779709919
"550",0.375237312482865
"551",51
"552",NA
"553",0.969164950033645
"554",0.931380103313204
"555",0.545860634171136
"556",0.456965746464705
"557",0.351377841102454
"558",0.487702272162773
"559",0.411381764777145
"560",0.444779000707416
"561",0.487506803019357
"562",52
"563",NA
"564",0.976106185527224
"565",0.964880190130015
"566",0.4714212231924
"567",0.37653186440862
