"","results"
"163",0.713016168713489
"164",0.479504944927935
"165",0.332900067704181
"166",0.401555155218865
"167",0.617824035340183
"168",0.374468704652104
"169",0.402698329946505
"170",0.711454414852251
"171",0.492368334012325
"172",0.452531217651227
"173",0.405072176871103
"174",0.607702185286581
"175",0.395482955482955
"176",0.40446157863312
"177",0.411962407754834
"178",0.831518361139385
"179",0.494022724410767
"180",0.713496945712804
"181",0.359992736344921
"182",0.748943114088828
"183",0.82905474640318
"184",0.742002698359126
"185",0.463695585045373
"186",0.444531736897881
"187",0.465328250371542
"188",0.5994260383413
"189",0.374577774744959
"190",0.353861316033719
"191",0.348838211359704
"192",0.779688498572272
"193",0.441398728065881
"194",0.353496542612276
"195",0.649110242844105
"196",0.404846503765858
"197",0.386349292486577
"198",0.761386538686625
"199",0.507448140307106
"200",0.455319371720535
"201",0.525587292668321
"202",0.422753710534846
"203",4
"204",0.445910758286095
"205",0.475511933303125
"206",0.723202393148056
"207",0.798136683934897
"208",0.790816042043473
"209",0.641998950129565
"210",0.6029339160345
"211",0.371390550571004
"212",0.429878030198886
"213",0.469319123506823
"214",0.610726406317889
"215",0.379531863473692
"216",0.370750107991077
"217",0.408784320503495
"218",0.85937855145112
"219",0.741414786448282
"220",0.53065256282824
"221",0.932774129556662
"222",0.361647038491594
"223",0.654549214275132
"224",0.530436510324854
"225",0.411873866102938
"226",0.465435884431483
"227",0.323176885549078
"228",0.408793480031116
"229",0.826210813268573
"230",0.765679630615646
"231",0.464052754468456
"232",0.641634155784351
"233",0.840836240070212
"234",0.442717733586988
"235",0.397381164947027
"236",0.462204521601396
"237",0.538988796517749
"238",0.38797787180743
"239",0.807650449081177
"240",0.375900555306097
"241",0.380219416913697
"242",0.366558287478086
"243",0.390741348524078
"244",0.33796626718531
"245",0.394186166876344
"246",0.39050158648845
"247",0.407777536954919
"248",0.801498793176299
"249",0.436748141071192
"250",0.340490470787115
"251",0.345435885302849
"252",0.4066833124855
"253",0.408930275528072
"254",0.720843903236876
"255",0.725386609377329
"256",0.427799675594813
"257",0.463108913116781
"258",0.554016223680301
"259",0.553013101678408
"260",0.373934387725734
"261",0.479813942583215
"262",0.348021717591839
"263",0.5783971099475
"264",0.711097058547945
"265",0.458425498279549
"266",0.822386688501049
"267",0.712876153978398
"268",0.7402363785089
"269",0.41104206166208
"270",0.68223491858708
"271",0.508001260243039
